PRISM Time Series Data
Location:  Lat: 29.8751   Lon: -93.1931   Elev: 0ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1936-01 - 2022-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1936-01,3.52
1936-02,3.68
1936-03,1.60
1936-04,3.16
1936-05,7.73
1936-06,0.46
1936-07,6.91
1936-08,5.19
1936-09,2.55
1936-10,2.35
1936-11,3.72
1936-12,4.32
1937-01,7.48
1937-02,1.63
1937-03,4.62
1937-04,2.02
1937-05,2.01
1937-06,4.27
1937-07,6.37
1937-08,5.84
1937-09,4.27
1937-10,5.86
1937-11,2.02
1937-12,3.92
1938-01,5.42
1938-02,2.52
1938-03,2.35
1938-04,4.69
1938-05,3.22
1938-06,4.42
1938-07,6.85
1938-08,5.04
1938-09,3.59
1938-10,1.55
1938-11,3.35
1938-12,3.06
1939-01,4.59
1939-02,3.77
1939-03,1.13
1939-04,1.85
1939-05,4.30
1939-06,3.68
1939-07,6.59
1939-08,3.91
1939-09,2.90
1939-10,1.59
1939-11,3.66
1939-12,2.95
1940-01,2.56
1940-02,4.87
1940-03,2.11
1940-04,6.79
1940-05,0.69
1940-06,9.62
1940-07,6.61
1940-08,15.81
1940-09,3.92
1940-10,1.90
1940-11,12.04
1940-12,9.63
1941-01,3.35
1941-02,2.72
1941-03,5.37
1941-04,2.83
1941-05,9.59
1941-06,7.41
1941-07,11.16
1941-08,2.81
1941-09,10.81
1941-10,6.64
1941-11,3.05
1941-12,2.29
1942-01,2.12
1942-02,4.73
1942-03,4.28
1942-04,6.21
1942-05,2.08
1942-06,10.85
1942-07,9.49
1942-08,6.43
1942-09,6.38
1942-10,3.54
1942-11,1.19
1942-12,4.28
1943-01,4.36
1943-02,3.62
1943-03,6.47
1943-04,2.87
1943-05,3.53
1943-06,3.64
1943-07,10.08
1943-08,2.67
1943-09,12.17
1943-10,1.60
1943-11,5.92
1943-12,5.49
1944-01,7.80
1944-02,2.64
1944-03,4.21
1944-04,3.93
1944-05,8.29
1944-06,1.35
1944-07,2.35
1944-08,6.99
1944-09,5.38
1944-10,1.47
1944-11,8.74
1944-12,4.59
1945-01,4.93
1945-02,3.80
1945-03,2.98
1945-04,5.12
1945-05,2.94
1945-06,4.83
1945-07,7.07
1945-08,7.51
1945-09,2.56
1945-10,6.53
1945-11,1.62
1945-12,7.33
1946-01,8.54
1946-02,3.31
1946-03,4.46
1946-04,2.57
1946-05,12.93
1946-06,6.77
1946-07,10.61
1946-08,2.67
1946-09,7.56
1946-10,3.42
1946-11,7.54
1946-12,3.28
1947-01,6.52
1947-02,1.70
1947-03,8.05
1947-04,3.36
1947-05,6.35
1947-06,3.07
1947-07,4.13
1947-08,5.33
1947-09,1.96
1947-10,0.93
1947-11,7.71
1947-12,6.23
1948-01,5.41
1948-02,4.00
1948-03,3.78
1948-04,2.70
1948-05,2.74
1948-06,1.16
1948-07,2.87
1948-08,5.47
