PRISM Time Series Data
Location:  Lat: 29.8230   Lon: -90.1344   Elev: 3ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1936-01 - 1993-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jun-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1936-01,8.69
1936-02,5.16
1936-03,2.15
1936-04,5.79
1936-05,4.66
1936-06,0.61
1936-07,7.28
1936-08,6.66
1936-09,4.80
1936-10,1.76
1936-11,2.75
1936-12,4.04
1937-01,5.71
1937-02,2.50
1937-03,5.91
1937-04,5.05
1937-05,3.91
1937-06,6.75
1937-07,5.23
1937-08,6.90
1937-09,4.85
1937-10,14.73
1937-11,1.97
1937-12,3.73
1938-01,4.76
1938-02,2.36
1938-03,2.35
1938-04,4.24
1938-05,2.10
1938-06,4.33
1938-07,8.09
1938-08,4.89
1938-09,4.53
1938-10,1.36
1938-11,2.92
1938-12,4.31
1939-01,2.58
1939-02,4.75
1939-03,1.65
1939-04,2.56
1939-05,9.45
1939-06,6.13
1939-07,7.25
1939-08,5.83
1939-09,4.22
1939-10,1.41
1939-11,3.18
1939-12,2.84
1940-01,3.54
1940-02,9.00
1940-03,4.36
1940-04,9.44
1940-05,1.04
1940-06,9.25
1940-07,10.21
1940-08,9.08
1940-09,5.80
1940-10,0.54
1940-11,3.28
1940-12,9.19
1941-01,3.53
1941-02,3.08
1941-03,4.09
1941-04,2.68
1941-05,3.59
1941-06,7.40
1941-07,8.26
1941-08,5.63
1941-09,7.55
1941-10,4.87
1941-11,2.35
1941-12,3.85
1942-01,2.32
1942-02,8.47
1942-03,5.98
1942-04,2.06
1942-05,5.06
1942-06,11.62
1942-07,8.18
1942-08,9.79
1942-09,7.10
1942-10,3.86
1942-11,1.31
1942-12,4.78
1943-01,2.64
1943-02,1.81
1943-03,9.91
1943-04,1.79
1943-05,4.07
1943-06,4.40
1943-07,7.36
1943-08,3.56
1943-09,15.28
1943-10,1.01
1943-11,3.54
1943-12,5.30
1944-01,8.02
1944-02,3.94
1944-03,5.56
1944-04,6.41
1944-05,5.38
1944-06,3.00
1944-07,4.78
1944-08,6.93
1944-09,5.43
1944-10,1.47
1944-11,10.88
1944-12,3.00
1945-01,5.18
1945-02,5.66
1945-03,2.92
1945-04,5.29
1945-05,3.34
1945-06,4.35
1945-07,13.74
1945-08,8.01
1945-09,6.42
1945-10,3.59
1945-11,1.97
1945-12,5.87
1946-01,6.02
1946-02,4.13
1946-03,12.50
1946-04,3.44
1946-05,10.98
1946-06,8.71
1946-07,9.19
1946-08,5.22
1946-09,10.40
1946-10,0.47
1946-11,4.74
1946-12,3.26
1947-01,7.98
1947-02,2.07
1947-03,10.48
1947-04,7.95
1947-05,5.85
1947-06,5.32
1947-07,2.75
1947-08,6.58
1947-09,5.70
1947-10,2.10
1947-11,11.75
1947-12,8.45
1948-01,5.45
1948-02,1.67
1948-03,14.56
1948-04,2.47
1948-05,3.06
1948-06,2.90
1948-07,5.86
1948-08,6.92
1948-09,14.83
1948-10,1.22
1948-11,12.36
1948-12,5.70
1949-01,2.57
1949-02,3.31
1949-03,9.92
1949-04,9.02
1949-05,1.96
1949-06,6.01
1949-07,9.16
1949-08,5.01
1949-09,7.82
1949-10,4.10
1949-11,0.31
1949-12,4.97
1950-01,3.07
1950-02,3.57
1950-03,5.32
1950-04,6.66
1950-05,2.79
1950-06,6.84
1950-07,7.65
1950-08,3.85
1950-09,2.85
1950-10,1.51
1950-11,1.04
1950-12,6.46
1951-01,4.08
1951-02,2.08
1951-03,9.53
1951-04,6.35
1951-05,1.73
1951-06,4.35
1951-07,6.03
1951-08,3.37
1951-09,7.69
1951-10,1.13
1951-11,2.74
1951-12,3.47
1952-01,2.44
1952-02,8.88
1952-03,3.41
1952-04,6.14
1952-05,5.88
1952-06,1.80
1952-07,7.03
1952-08,4.85
1952-09,4.75
1952-10,0.00
1952-11,2.83
1952-12,6.77
1953-01,2.45
1953-02,7.01
1953-03,4.87
1953-04,6.87
1953-05,4.28
1953-06,7.81
1953-07,9.61
1953-08,7.97
